"Gjinia";"Komuna";"Total"
"Gjithsej";"Deçan";29548
"Gjithsej";"Gjakovë";69256
"Gjithsej";"Gllogoc";41236
"Gjithsej";"Gjilan";66714
"Gjithsej";"Dragash";25339
"Gjithsej";"Istog";28480
"Gjithsej";"Kaçanik";23828
"Gjithsej";"Klinë";27098
"Gjithsej";"Fushë Kosovë";24831
"Gjithsej";"Kamenicë";27185
"Gjithsej";"Mitrovicë";51558
"Gjithsej";"Leposaviq";:
"Gjithsej";"Lipjan";40410
"Gjithsej";"Novobërdë";5086
"Gjithsej";"Obiliq";15130
"Gjithsej";"Rahovec";40127
"Gjithsej";"Pejë";71457
"Gjithsej";"Podujevë";61691
"Gjithsej";"Prishtinë";147494
"Gjithsej";"Prizren";128582
"Gjithsej";"Skenderaj";35827
"Gjithsej";"Shtime";18743
"Gjithsej";"Shtërpcë";5178
"Gjithsej";"Suharekë";42313
"Gjithsej";"Ferizaj";77044
"Gjithsej";"Viti";32819
"Gjithsej";"Vushtrri";50236
"Gjithsej";"Zubin Potok";:
"Gjithsej";"Zveqan";:
"Gjithsej";"Malishevë";35773
"Gjithsej";"Junik";4403
"Gjithsej";"Mamushë";3681
"Gjithsej";"Hani i Elezit";6625
"Gjithsej";"Graçanicë";8012
"Gjithsej";"Ranillug";3211
"Gjithsej";"Partesh";1447
"Gjithsej";"Kllokot";1886
"Gjithsej";"Total";1252248
